1	0.001	0	0.001	0	0.001	0	1.438
3	0	0	0.003	0.002	0.003	0.001	2.048
5	0	0.001	0.005	0.003	0.006	0.003	1.832
7	0.001	0.001	0.006	0.005	0.01	0.002	3.026
9	0.001	0	0.011	0.009	0.013	0.002	2.011
11	0.001	0.001	0.01	0.01	0.018	0.003	1.755
13	0.001	0	0.012	0.012	0.029	0.002	2.116
15	0.001	0.001	0.015	0.011	0.022	0.003	2.314
17	0.001	0.002	0.017	0.015	0.024	0.002	3.518
19	0.002	0.001	0.02	0.017	0.03	0.003	1.96
21	0.002	0.001	0.02	0.018	0.029	0.003	1.924
23	0.002	0.002	0.023	0.02	0.03	0.004	1.801
25	0.002	0.002	0.022	0.02	0.036	0.004	1.786
27	0.002	0.002	0.022	0.02	0.038	0.003	3.573
29	0.002	0.003	0.026	0.022	0.044	0.004	2.458
31	0.003	0.003	0.034	0.028	0.05	0.004	1.95
33	0.003	0.002	0.029	0.026	0.068	0.004	1.695
35	0.003	0.004	0.031	0.029	0.048	0.004	1.751
37	0.004	0.004	0.033	0.031	0.085	0.004	2.232
39	0.004	0.004	0.035	0.032	0.056	0.004	1.834
41	0.004	0.004	0.037	0.034	0.062	0.005	1.81
43	0.005	0.004	0.038	0.034	0.07	0.005	1.797
45	0.004	0.005	0.039	0.033	0.068	0.005	1.95
47	0.005	0.005	0.04	0.035	0.079	0.006	2.008
49	0.005	0.006	0.041	0.035	0.082	0.005	1.767
51	0.006	0.005	0.043	0.039	0.073	0.006	1.755
53	0.005	0.005	0.045	0.039	0.073	0.006	1.732
55	0.006	0.006	0.044	0.039	0.076	0.006	1.924
57	0.007	0.007	0.047	0.041	0.102	0.007	2.504
59	0.02	0.017	0.074	0.044	0.088	0.007	2.115
61	0.008	0.007	0.05	0.044	0.094	0.007	1.89
63	0.008	0.008	0.047	0.042	0.104	0.006	1.864
65	0.008	0.01	0.055	0.047	0.134	0.008	2.051
67	0.009	0.009	0.057	0.049	0.096	0.008	1.835
69	0.009	0.01	0.058	0.051	0.1	0.008	1.92
71	0.009	0.01	0.064	0.062	0.101	0.007	1.815
73	0.009	0.01	0.063	0.056	0.141	0.009	2.013
75	0.01	0.011	0.065	0.058	0.106	0.009	2.3
77	0.012	0.013	0.069	0.062	0.119	0.009	1.856
79	0.012	0.014	0.07	0.071	0.123	0.008	1.848
81	0.012	0.015	0.072	0.064	0.127	0.009	1.815
83	0.012	0.015	0.073	0.065	0.129	0.009	5.115
85	0.042	0.048	0.265	0.215	0.42	0.031	6.682
87	0.044	0.052	0.238	0.275	0.456	0.032	6.03
89	0.046	0.052	0.255	0.23	0.469	0.033	6.076
91	0.048	0.054	0.247	0.258	0.442	0.033	4.182
93	0.029	0.032	0.152	0.136	0.335	0.02	3.96
95	0.031	0.033	0.145	0.128	0.289	0.02	3.578
97	0.031	0.035	0.155	0.138	0.319	0.02	3.502
99	0.06	0.034	0.16	0.146	0.273	0.02	3.486
101	0.034	0.04	0.162	0.146	0.288	0.021	3.74
103	0.034	0.042	0.169	0.182	0.296	0.021	4.139
105	0.076	0.092	0.392	0.326	0.652	0.046	7.793
107	0.079	0.093	0.436	0.327	0.677	0.046	7.59
109	0.091	0.098	0.373	0.334	0.708	0.049	7.799
111	0.084	0.098	0.431	0.332	0.737	0.05	8.53
113	0.086	0.101	0.415	0.343	0.755	0.05	7.745
115	0.09	0.108	0.386	0.4	0.676	0.051	7.713
117	0.094	0.109	0.392	0.401	0.688	0.117	7.653
119	0.096	0.11	0.395	0.426	0.772	0.052	7.592
121	0.148	0.112	0.404	0.406	0.74	0.054	8.391
123	0.057	0.07	0.273	0.208	0.433	0.031	4.352
125	0.059	0.071	0.233	0.212	0.467	0.031	4.21
127	0.061	0.072	0.224	0.25	0.45	0.031	4.235
129	0.063	0.072	0.239	0.212	0.448	0.033	4.713
131	0.065	0.076	0.254	0.221	0.482	0.033	4.702
133	0.066	0.084	0.28	0.233	0.474	0.034	4.296
135	0.068	0.085	0.264	0.241	0.501	0.034	4.212
137	0.069	0.086	0.295	0.244	0.475	0.035	4.301
139	0.072	0.088	0.304	0.248	0.479	0.035	4.787
141	0.073	0.088	0.311	0.259	0.483	0.036	4.459
143	0.075	0.091	0.289	0.34	0.49	0.036	4.427
145	0.078	0.092	0.326	0.269	0.522	0.037	4.281
147	0.08	0.093	0.31	0.315	0.507	0.037	4.537
149	0.081	0.094	0.308	0.31	0.516	0.038	4.864
151	0.113	0.096	0.312	0.284	0.526	0.039	4.352
153	0.085	0.222	0.328	0.208	0.318	0.022	2.001
155	0.037	0.042	0.139	0.127	0.23	0.017	1.795
157	0.038	0.043	0.137	0.127	0.237	0.017	2.124
159	0.038	0.045	0.138	0.128	0.289	0.038	2.025
161	0.04	0.047	0.141	0.139	0.25	0.018	1.934
163	0.046	0.054	0.245	0.139	0.239	0.018	1.926
165	0.043	0.05	0.145	0.132	0.261	0.019	2.208
167	0.043	0.049	0.149	0.137	0.274	0.018	2.217
169	0.044	0.055	0.157	0.133	0.287	0.018	1.849
171	0.074	0.054	0.147	0.138	0.24	0.018	1.817
173	0.045	0.054	0.147	0.136	0.282	0.019	1.793
175	0.123	0.056	0.148	0.137	0.244	0.019	2.04
177	0.047	0.057	0.173	0.155	0.247	0.019	2.052
179	0.05	0.067	0.152	0.144	0.293	0.019	1.832
181	0.049	0.057	0.152	0.142	0.262	0.019	1.888
183	0.061	0.06	0.159	0.147	0.273	0.021	1.912
185	0.051	0.059	0.155	0.18	0.272	0.019	2.064
187	0.053	0.069	0.152	0.143	0.296	0.02	1.823
189	0.053	0.061	0.155	0.144	0.278	0.021	1.852
191	0.054	0.062	0.153	0.178	0.271	0.021	1.795
193	0.055	0.065	0.156	0.146	0.274	0.02	1.934
195	0.067	0.065	0.163	0.151	0.294	0.021	2.138
197	0.067	0.065	0.161	0.15	0.283	0.022	1.828
199	0.058	0.066	0.163	0.19	0.293	0.021	1.808
201	0.059	0.072	0.164	0.155	0.314	0.031	1.783
203	0.06	0.072	0.202	0.158	0.299	0.021	2.065
205	0.062	0.074	0.213	0.159	0.286	0.022	1.828
207	0.063	0.076	0.173	0.194	0.292	0.022	1.846
209	0.083	0.076	0.171	0.159	0.376	0.022	1.876
211	0.065	0.076	0.171	0.16	0.309	0.023	1.853
213	0.065	0.078	0.252	0.246	0.385	0.023	2.294
215	0.068	0.079	0.174	0.163	0.307	0.023	1.864
217	0.068	0.106	0.214	0.182	0.338	0.023	1.872
219	0.07	0.123	0.179	0.166	0.314	0.023	1.823
221	0.071	0.084	0.177	0.204	0.318	0.023	1.996
223	0.071	0.084	0.175	0.201	0.331	0.024	2.033
225	0.073	0.085	0.173	0.189	0.354	0.025	1.826
227	0.074	0.085	0.179	0.168	0.379	0.025	1.793
229	0.093	0.086	0.184	0.172	0.319	0.024	1.821
231	0.099	0.098	0.186	0.175	0.335	0.025	2.034
233	0.077	0.135	0.185	0.171	0.33	0.025	1.815
235	0.079	0.098	0.22	0.171	0.35	0.026	1.96
237	0.08	0.101	0.189	0.212	0.339	0.025	2.547
239	0.103	0.139	0.194	0.185	0.369	0.026	1.96
241	0.083	0.104	0.19	0.179	0.382	0.026	2.073
243	0.083	0.106	0.192	0.18	0.392	0.026	1.803
245	0.095	0.106	0.19	0.177	0.357	0.026	2.211
247	0.087	0.106	0.196	0.183	0.395	0.027	1.897
249	0.1	0.123	0.207	0.183	0.411	0.026	2.04
251	0.09	0.109	0.196	0.185	0.406	0.027	1.871
253	0.101	0.11	0.197	0.185	0.408	0.027	1.828
255	0.092	0.111	0.197	0.188	0.405	0.027	1.771
257	0.093	0.155	0.206	0.19	0.368	0.028	1.944
259	0.095	0.15	0.208	0.194	0.378	0.028	2.171
261	0.097	0.115	0.208	0.192	0.4	0.028	1.804
263	0.108	0.116	0.219	0.201	0.43	0.028	1.796
265	0.181	0.117	0.215	0.198	0.409	0.028	1.778
267	0.12	0.129	0.217	0.199	0.401	0.055	1.952
269	0.103	0.12	0.219	0.203	0.455	0.049	2.184
271	0.104	0.131	0.231	0.246	0.427	0.03	1.917
273	0.105	0.132	0.22	0.252	0.392	0.03	1.841
275	0.106	0.132	0.23	0.319	0.419	0.03	1.88
277	0.108	0.133	0.269	0.218	0.414	0.03	6.893
279	0.433	0.491	0.922	1.141	1.631	0.111	6.822
281	0.406	0.524	0.916	0.841	1.565	0.111	6.759
283	0.522	0.406	0.522	0.468	0.915	0.064	3.866
285	0.281	0.364	0.658	0.797	1.557	0.077	4.292
287	0.25	0.297	0.529	0.486	0.908	0.065	4.42
289	0.242	0.301	0.52	0.468	0.904	0.064	3.863
291	0.245	0.323	0.523	0.56	0.93	0.064	3.91
293	0.246	0.309	0.533	0.489	0.895	0.065	4.103
295	0.251	0.307	0.535	0.479	0.918	0.066	4.315
297	0.277	0.311	0.558	0.489	0.945	0.065	3.836
299	0.257	0.329	0.524	0.515	0.984	0.069	4.088
301	0.259	0.315	0.561	0.512	0.907	0.114	3.769
303	0.31	0.315	0.566	0.501	0.934	0.068	3.907
305	0.265	0.346	0.522	0.514	0.97	0.07	4.439
307	0.29	0.322	0.548	0.535	0.983	0.068	3.887
309	0.272	0.459	1.261	1.086	1.96	0.138	7.839
311	0.595	0.654	1.173	1.144	2.087	0.14	7.689
313	0.56	0.71	1.172	1.091	1.809	0.079	4.826
315	0.35	0.377	0.658	0.594	1.141	0.08	5.064
317	0.328	0.386	0.655	0.625	1.098	0.08	4.311
319	0.362	0.42	0.651	0.602	1.096	0.082	4.464
321	0.195	0.242	0.336	0.259	0.496	0.036	1.846
323	0.191	0.178	0.261	0.245	0.497	0.035	2.177
325	0.146	0.183	0.322	0.27	0.479	0.034	1.902
327	0.17	0.189	0.285	0.26	0.523	0.035	1.84
329	0.154	0.189	0.289	0.291	0.494	0.037	1.842
331	0.156	0.19	0.301	0.278	0.5	0.046	2.031
333	0.158	0.194	0.297	0.292	0.495	0.037	2.112
335	0.155	0.216	0.348	0.274	0.506	0.036	1.851
337	0.156	0.191	0.283	0.294	0.744	0.037	1.863
339	0.158	0.236	0.289	0.273	0.532	0.037	1.828
341	0.159	0.192	0.292	0.31	0.515	0.037	2.038
343	0.162	0.215	0.296	0.273	0.549	0.047	1.998
345	0.163	0.193	0.28	0.301	0.502	0.038	1.839
347	0.165	0.221	0.298	0.271	0.533	0.038	1.798
349	0.203	0.198	0.285	0.275	0.592	0.037	1.902
351	0.169	0.199	0.324	0.28	0.501	0.074	2.186
353	0.171	0.199	0.289	0.385	0.607	0.038	1.88
355	0.236	0.199	0.28	0.266	0.568	0.039	1.832
357	0.175	0.202	0.291	0.321	0.527	0.039	1.833
359	0.176	0.237	0.302	0.286	0.623	0.038	2.049
361	0.178	0.219	0.383	0.318	0.587	0.04	2.112
363	0.18	0.221	0.33	0.277	0.532	0.039	1.841
365	0.181	0.257	0.295	0.282	0.576	0.04	1.853
367	0.184	0.231	0.338	0.291	0.541	0.062	1.811
369	0.22	0.233	0.307	0.293	0.56	0.041	2.258
371	0.211	0.244	0.308	0.292	0.684	0.041	1.924
373	0.19	0.236	0.345	0.297	0.572	0.041	1.838
375	0.192	0.236	0.309	0.343	0.532	0.041	1.821
377	0.193	0.283	0.297	0.285	0.592	0.041	2.012
379	0.195	0.236	0.336	0.284	0.564	0.065	2.12
381	0.197	0.241	0.301	0.33	0.557	0.042	1.831
383	0.199	0.277	0.309	0.299	0.597	0.041	1.841
385	0.201	0.243	0.332	0.276	0.581	0.042	1.793
387	0.391	0.385	0.437	0.287	0.554	0.082	2.157
389	0.205	0.255	0.343	0.307	0.616	0.085	1.862
391	0.239	0.259	0.307	0.32	0.576	0.042	1.846
393	0.21	0.295	0.328	0.315	0.614	0.043	1.84
395	0.211	0.258	0.357	0.306	0.573	0.055	1.928
397	0.254	0.26	0.333	0.358	0.592	0.043	2.318
399	0.215	0.262	0.352	0.325	0.611	0.081	1.846
401	0.256	0.262	0.317	0.34	0.61	0.044	1.846
403	0.22	0.295	0.324	0.31	0.655	0.044	1.881
405	0.408	0.376	0.355	0.339	0.641	0.045	2.1
407	0.232	0.304	0.341	0.328	0.625	0.045	2.094
409	0.234	0.309	0.345	0.33	0.627	0.045	1.882
411	0.229	0.316	0.348	0.341	0.656	0.045	1.876
413	0.242	0.347	0.386	0.326	0.671	0.045	1.943
415	0.232	0.298	0.476	0.41	0.653	0.045	2.208
417	0.235	0.335	0.332	0.317	0.66	0.045	2.007
419	0.236	0.335	0.334	0.319	0.673	0.046	1.86
421	0.239	0.341	0.345	0.33	0.664	0.045	1.833
423	0.242	0.305	0.371	0.324	0.682	0.046	1.986
425	0.244	0.305	0.381	0.328	0.665	0.046	2.052
427	0.245	0.307	0.388	0.331	0.679	0.047	1.866
429	0.248	0.305	0.385	0.333	0.666	0.047	1.842
431	0.25	0.307	0.387	0.335	0.671	0.046	1.79
433	0.299	0.31	0.344	0.367	0.651	0.047	2.215
435	0.255	0.311	0.391	0.336	0.681	0.047	1.909
437	0.256	0.314	0.392	0.34	0.694	0.047	1.872
439	0.259	0.318	0.378	0.331	0.697	0.047	1.997
441	0.261	0.317	0.386	0.332	0.658	0.049	1.986
443	0.263	0.319	0.387	0.335	0.717	0.048	2.524
445	0.302	0.319	0.345	0.371	0.66	0.048	1.882
447	0.304	0.321	0.345	0.371	0.662	0.049	1.876
449	0.297	0.334	0.338	0.35	0.675	0.048	2.121
451	0.305	0.326	0.344	0.369	0.697	0.059	2.052
453	0.275	0.331	0.398	0.347	0.722	0.049	1.882
455	0.276	0.354	0.404	0.352	0.743	0.05	1.952
457	0.354	0.399	0.365	0.354	0.747	0.049	2.211
459	0.32	0.378	0.415	0.363	0.762	0.052	1.954
461	0.291	0.364	0.408	0.366	0.77	0.052	2.268
463	0.366	0.37	0.386	0.395	0.744	0.052	1.868
465	0.318	0.36	0.428	0.357	0.735	0.051	1.839
467	0.291	0.368	0.399	0.355	0.781	0.104	2.005
469	0.293	0.41	0.376	0.362	0.736	0.051	1.972
471	0.328	0.37	0.379	0.403	0.744	0.076	2.115
473	0.298	0.374	0.41	0.359	0.743	0.051	1.85
475	0.301	0.372	0.397	0.347	0.753	0.053	2.069
477	0.302	0.407	0.38	0.395	0.72	0.052	1.834
479	0.335	0.386	0.368	0.458	1.009	0.083	2.248
481	0.307	0.393	0.37	0.389	0.713	0.051	1.947
483	0.335	0.388	0.406	0.357	0.799	0.053	1.828
485	0.313	0.398	0.425	0.367	0.779	0.053	1.917
487	0.316	0.43	0.38	0.367	0.762	0.053	1.951
489	0.338	0.411	0.386	0.408	0.728	0.084	2.109
491	0.319	0.404	0.423	0.368	0.778	0.053	1.858
493	0.322	0.447	0.391	0.377	0.759	0.054	1.81
495	0.325	0.611	0.41	0.4	0.77	0.054	1.847
497	0.327	0.397	0.421	0.367	0.77	0.054	2.116
499	0.329	0.437	0.397	0.406	0.762	0.055	1.904
501	0.363	0.401	0.427	0.403	0.787	0.054	1.874
503	0.335	0.419	0.407	0.373	0.797	0.054	1.855
505	0.337	0.437	0.395	0.405	0.803	0.054	1.86
507	0.341	0.409	0.439	0.383	0.827	0.066	2.284
509	0.416	0.512	0.605	0.418	0.841	0.055	1.976
511	0.375	0.422	0.4	0.392	0.805	0.057	1.918
513	0.396	0.433	0.41	0.383	0.79	0.058	1.872
515	0.362	0.436	0.42	0.405	0.785	0.067	2.063
517	0.363	0.43	0.458	0.397	0.814	0.058	2.112
519	0.374	0.433	0.464	0.404	0.794	0.058	1.885
521	0.358	0.454	0.438	0.396	0.817	0.058	1.846
523	0.383	0.452	0.422	0.441	0.799	0.057	1.878
525	0.375	0.443	0.478	0.413	0.842	0.058	2.176
527	0.407	0.445	0.466	0.419	0.816	0.058	1.918
529	0.369	0.479	0.429	0.439	0.808	0.068	1.998
531	0.383	0.449	0.47	0.42	0.983	0.058	1.873
533	0.396	0.465	0.458	0.429	0.836	0.06	1.988
535	0.388	0.479	0.461	0.454	0.825	0.061	2.121
537	0.38	0.468	0.453	0.461	0.792	0.06	1.964
539	0.428	0.454	0.479	0.419	0.853	0.06	2.019
541	0.417	0.464	0.482	0.429	1.122	0.06	1.891
543	0.439	0.469	0.466	0.439	0.89	0.059	2.061
545	0.411	0.499	0.435	0.513	0.877	0.06	2.469
547	0.499	0.483	0.493	0.434	0.827	0.062	2.122
549	0.419	0.49	0.478	0.443	0.857	0.063	1.964
551	0.424	0.494	0.547	0.455	0.871	0.061	2.054
553	0.401	0.533	0.477	0.501	0.836	0.061	3.032
555	0.536	0.603	0.516	0.467	0.902	0.061	2.091
557	0.442	0.497	0.499	0.445	0.884	0.061	2.475
559	0.423	0.548	0.462	0.44	1.039	0.061	1.895
561	0.429	0.504	0.497	0.441	0.863	0.061	2.116
563	0.427	0.507	0.505	0.455	0.856	0.062	2.046
565	0.462	0.555	0.568	0.628	0.827	0.117	2.622
567	0.48	0.53	0.505	0.449	0.836	0.062	1.899
569	0.425	0.56	0.493	0.46	0.861	0.063	1.866
571	0.427	0.564	0.482	0.518	0.866	0.064	2.301
573	0.453	0.549	0.539	0.477	0.889	0.062	1.879
575	0.434	0.596	0.513	0.488	0.876	0.064	1.853
577	0.437	0.572	0.472	0.48	0.902	0.064	2.073
579	0.453	0.572	0.496	0.485	0.85	0.063	1.988
581	0.456	0.575	0.504	0.502	0.902	0.067	2.408
583	0.478	0.563	0.534	0.5	0.894	0.067	2.046
585	0.479	0.55	0.557	0.477	0.899	0.065	1.959
587	0.48	0.548	0.555	0.539	0.892	0.085	1.809
589	0.486	0.557	0.555	0.492	0.895	0.065	7.978
591	1.985	2.361	2.255	2.149	3.808	0.268	7.895
593	1.991	1.442	1.343	1.321	2.293	0.165	4.726
595	1.21	1.486	1.337	1.284	2.289	0.166	4.71
597	1.249	1.473	1.377	1.315	1.02	0.068	1.975
599	0.493	0.589	0.855	0.575	0.991	0.067	2.121
601	0.482	0.79	0.561	0.508	0.903	0.066	1.905
603	0.509	0.588	0.549	0.502	0.908	0.067	1.836
605	0.512	0.593	0.551	0.5	0.927	0.067	1.856
607	0.511	0.597	0.589	0.522	0.914	0.09	2.501
609	0.517	0.594	0.564	0.502	0.922	0.067	1.908
611	0.518	0.599	0.554	0.501	0.921	0.068	1.843
613	0.57	0.78	0.69	0.664	0.99	0.068	1.857
615	0.493	0.649	0.571	0.515	0.94	0.068	1.964
617	0.53	0.696	0.573	0.511	0.95	0.069	2.266
619	0.5	0.656	0.531	0.547	0.981	0.069	1.919
621	0.502	0.659	0.576	0.522	0.937	0.069	1.852
623	0.558	1.07	0.637	0.576	0.969	0.072	1.984
625	0.542	0.629	0.585	0.528	0.975	0.071	2.049
627	0.568	0.662	0.553	0.539	0.971	0.072	2.237
629	0.551	0.634	0.636	0.558	1.059	0.07	2.277
631	0.544	0.667	0.571	0.564	0.983	0.069	2.011
633	0.546	0.674	0.565	0.558	0.993	0.072	1.935
635	0.541	0.678	0.581	0.549	0.988	0.072	2.104
637	0.56	0.68	0.557	0.591	0.988	0.071	1.881
639	0.532	0.767	0.57	0.538	1.025	0.072	1.89
641	0.598	0.648	0.573	0.549	0.966	0.071	1.833
643	0.618	0.798	0.542	0.563	0.98	0.071	2.624
645	0.645	0.7	0.593	0.531	0.978	0.072	2.138
647	0.579	0.7	0.552	0.559	0.971	0.073	1.92
649	0.547	0.741	0.631	0.537	0.991	0.073	2.007
651	0.615	0.714	0.572	0.578	0.994	0.072	1.924
653	0.554	0.711	0.609	0.556	1.004	0.073	2.034
655	0.568	0.854	0.852	0.546	0.978	0.073	1.935
657	0.593	0.693	0.56	0.57	1.009	0.072	1.847
659	0.564	0.722	0.609	0.544	1.007	0.072	1.831
661	0.601	0.687	0.858	0.571	1.007	0.075	1.987
663	0.614	0.831	0.631	0.591	1.014	0.074	2.232
665	0.6	0.713	0.591	0.554	1.047	0.076	1.982
667	0.596	0.725	0.611	0.575	1.052	0.077	1.846
669	0.612	0.7	0.624	0.57	1.017	0.075	1.856
671	0.584	0.733	0.575	0.553	1.021	0.074	2.053
673	0.64	0.777	0.911	0.585	1.067	0.075	2.1
675	0.609	0.739	0.576	0.576	1.037	0.076	1.862
